text,class,label,number_of_words
philip crosby associates inc pcro th qtr net shr three cts vs cts net vs revs mln vs year shr cts vs cts net vs revs mln vs mln reuter ,ea,2,30
may ma won t buy allied s dey brothers stores may department stores co said it terminated an agreement with allied stores corp to buy from allied the four dey brothers stores in syracuse n y may and allied said conditions necessary for the closing were not met may had planned to make the acquisition an expansion of its sibley s department store co which operates in syracuse rochester and buffalo n y reuter ,ac,0,74
florida employers insurance flaef o rd qtr shr cts vs cts net vs nine mths shr cts vs cts net vs note full name of company is florida employers insurance co reuter ,ea,2,32
national beverage to acquire faygo beverages national beverage corp said it agreed to acquire faygo beverages inc for an undisclosed amount of cash faygo has revenues in excess of of mln dlrs national beverage said reuter ,ac,0,36
computer memories cmin o to delay merger computer memories inc said its board has decided to take additional time to evaluate the impact of litigation on the proposed acquisition of hemdale film corp computer memories said it plans to adjourn its annual shareholders meeting scheduled for october after it is convened one purpose of the meeting is to consider the transaction the company explained computer memories said hemdale agrees with this course of action reuter ,ac,0,75
sico sic to to buy reichold rci unit assets sico inc said it agreed in principle to buy the u s assets of reichold chemicals inc s sterling group which manufactures electrical insulation compounds and industrial resins and develops coatings for the electronics industry terms were undisclosed sico said it acquired sterling group s canadian assets in february it said the u s acquisition adds about mln dlrs to its annual sales volume reuter ,ac,0,74
barris ind says it leads group with pct of media general may seek control ,ac,0,14
kenya devalues shilling by pct against sdr kenya devalued the shilling by pct against the special drawing right sdr in response to the decline of the dollar last last week bankers said the central bank of kenya set the shilling at to the sdr compared with the rate in force since the last devaluation on march the kenyan shilling has lost pct of its value against the sdr this year in a series of devaluations designed to keep the value of the dollar above shillings reuter ,mo,4,86
burnham service corp bsco o rd qtr net shr cts vs cts net vs revs mln vs mln nine mths shr dlrs vs cts net vs revs mln vs mln reuter ,ea,2,31
southland slc unit raises crude cts bbl southland corp s subsidiary citgo petroleum said it raised its posted prices for crude oil across the board by cts a barrel effective june citgo said its new posting for west texas intermediate and west texas sour is dlrs a barrel light louisiana sweet is now posted at the company said reuter ,cr,1,59
eastern utilities associates rd qtr net shr cts vs cts net mln vs mln revs mln vs mln avg shrs vs nine mths shr dlrs vs dlrs net mln vs vs mln revs mln vs mln avg shrs vs mths shr dlrs vs dlrs net mln vs mln revs mln vs mln avg shrs vs reuter ,ea,2,56
first american bank for savings famb o rd qtr shr cts vs cts net vs nine mths shr dlrs vs not given net mln vs note company went public in july net includes loan loss provisions of dlrs vs dlrs in quarter and dlrs vs dlrs in nine mths net includes pretax gains on sale of assets of dlrs vs dlrs in quarter and dlrs vs dlrs in nine mths reuter ,ea,2,71
safeguard health sfgd o rd qtr net shr cts vs five cts net vs revs mln vs mln nine mths shr cts vs cts net vs revs mln vs mln note full name safeguard health enterprises inc reuter ,ea,2,38
leader development ldco o merger approved leader development corp said shareholders at the annual meeting approved the acquisition of privately held clinton american corp and two related partnerships for common shares with the transaction to be accounted for as a pooling of interests the company said clinton president f daniel ryan will become president of leader reuter ,ac,0,57
freddie mac adjusts short term discount rates the federal home loan mortgage corp adjusted the rates on its short term discount notes as follows maturity rate old rate maturity days pct pct days reuter ,in,5,34
entre computer centers inc etre nd qtr loss shr loss cts vs profit cts net loss vs profit revs mln vs mln st half shr loss cts vs profit cts net loss vs profit revs mln vs mln note current year net both periods includes dlr pretax provision for closing overseas operations and tax credits dlrs in quarter and dlrs in half reuter ,ea,2,63
convergent inc cvgt o rd qtr net shr profit four cts vs loss cts net profit vs loss mln revs mln vs mln avg shrs mln vs mln nine mths shr loss cts vs loss cts net loss vs loss mln revs mln vs mln avg shrs mln vs mln note net includes tax credits of dlrs in quarter and dlrs in nine mths nine mths results restated for pooled acquisition of bidtek inc reuter ,ea,2,75
chiron corp chir o th qtr april loss shr loss cts vs loss cts net loss vs loss revs vs year shr loss cts vs loss cts net loss vs loss revs vs reuter ,ea,2,34
spectramed inc spmd o rd qtr net shr profit seven cts vs n a net profit vs profit sales mln vs mln nine mths shr loss ct s vs n a net loss vs protit sales mln vs mln note current nine month figures include extraordinary loss of mln dlrs or cts per share resulting from costs associated with restructuring prior quarter and nine month per share figures not applicable because company began operations in october with the acquisition of gould inc s gld medical products group reuter ,ea,2,88
culp inc culp o th qtr may two net shr cts vs cts net vs sales mln vs mln year shr dlrs vs one dlr net vs sales mln vs mln note prior year net both periods includes gain dlrs from adjustments to lifo reserves compensation related accruals and a revised effective tax rate reuter ,ea,2,55
lebanese pound falls sharply against dollar the lebanese pound fell sharply against the u s dollar again today with dealers attributing the decline to continued political uncertainty the pound closed at against the dollar compared to yesterday s close of political deadlock is reflected in the pound s position there was more demand and less on offer in the market one dealer told reuters the pound which was at to the dollar in january has lost more than pct of its international value over the past three months reuter ,mo,4,89
loctite corp loc rd qtr march net shr cts vs cts net vs revs m ln vs mln nine mths shr dlrs vs dlrs net mln vs mln revs mln vs mln reuter ,ea,2,33
security pacific expects brazil loan action to cut net by mln dlrs ,ea,2,12
commonwealth bank cuts australian split prime the commonwealth bank of australia said it will lower its reference rate for loans to pct from pct and its overdraft reference rate to pct from effective june bank officials have said the bank regards the overdraft reference rate based on short term rate trends as its key prime lending rate to corporate customers the loan reference rate is based on longer term trends the bank is the latest to cut prime rates in recent days following a continuing decline in market rates other prime rates now range from pct to pct reuter ,in,5,99
last minute opposition to gulf bill arises house speaker jim wright predicted passage of legislation requiring the reagan administration to provide congress with a report on its mideast gulf policy but a last minute revolt by an alliance of liberals and conservatives left the bill s fate in doubt the legislation was written in the wake of the may th iraqi missile attack on the u s frigate stark in the gulf which killed americans and president reagan s decision to protect kuwaiti oil tankers by putting them under u s flags effectively making them american ships since the administration made known its reflagging plans congressional leaders complained they had not been consulted and some charged the policy could lead the united states into the year old war between iran and iraq the house was to vote today on a bill supported by the democratic and republican congressional leadership and the administration which demanded a report within seven days on plans to meet the security needs of u s forces in the gulf the resolution was expected to pass without controversy today in the house foreign affairs committee before the full house was to take up the bill but in a surprise move liberal democrats and conservative republicans on the committee joined in an unusual alliance to oppose the resolution liberal democrats said a lack of any restrictions in the bill implied consent to reagan s policies reuter ,sh,6,238
insurance firm as piezo pepi o preferred stake corporate life insurance co a west chester pa insurance firm told the securities and exchange commission it has acquired shares of preferred stock in piezo electric products inc or pct of the total corporate insurance said it bought the cumulative convertible preferred stock stake for dlrs for investment purposes reuter ,ac,0,58
durakon drkn o to make acquisition durakon industries inc said it has entered into a definitive agreement to acquire dfm corp a maker of bug and gravel protective shields for trucks and cars for an undisclosed amount of cash and debentures retroactive to september one reuter ,ac,0,46
fed adds reserves via overnight repurchases the federal reserve entered the u s government securities market to arrange overnight system repurchase agreements a fed spokesman said dealers said that federal funds were trading at pct when the fed began its temporary and direct supply of reserves to the banking system reuter ,in,5,51
ambrit inc abi in payout qtly div two cts vs two cts prior pay may record may eight reuter ,ea,2,19
china resumes ussr ship repairs after year gap china has resumed repairs of soviet ships after a year break caused by the ideological split between the two countries the new china news agency said an agreement to resume the business was signed by the two sides on wednesday in shanghai where three soviet commercial vessels were being repaired the china daily said the first two soviet ships to be repaired in china since left the ports of dalian and xingang last month bi yueran managing director of china state shipbuilding corp s ship repair department told the newspaper the soviet union lacked adequate repair facilities for the more than ships deployed in the far east bi said china s yards offered competitive prices guaranteed quality and prompt delivery reuter ,sh,6,129
bank of japan to sell billion yen in bills the bank of japan will tomorrow sell billion yen in bills from its holdings to help absorb a projected money market surplus of billion money market traders said of the total billion yen will yield pct on sales from money houses to banks and securities houses in day repurchase agreements maturing on august the other billion yen will yield pct in day repurchase accords maturing on august the remaining billion yen will yield pct in day repurchase agreements maturing on august the repurchase agreement yields compare with the pct one month commercial bill discount rate today and pct on two month bills they attributed the projected surplus mainly to billion yen of government tax allocations to local governments and public bodies reuter ,in,5,131
brenton banks brbk o rd qtr oper net oper shr cts vs dlrs oper net vs nine mths oper shr dlrs vs dlrs oper net vs note results exclude extraordinary gain from net loss carryforward of dlrs or cts in rd qtr dlrs cts in rd qtr and dlrs or cts in nine months results include mln dlr gain from termination of defined benefit pension plan reuter ,ea,2,67
australian unions and nsw government reach deal union and new south wales government officials have reached a compromise in a dispute over workers compensation averting increased industrial action in the state union sources said but some unions including those of building and mining workers said they were dissatisfied with the deal and would continue their strikes for a few more days state officials said the government had agreed to revise its proposals to cut compensation and would allow slightly higher cash benefits for injured workers under the original proposal which sparked strikes and other industrial action in the state on april workers compensation would have been cut by one third full details of the compromise package are not yet known the labour council affiliated to the australian council of trade unions actu had threatened to paralyse new south wales unless the government modified its pending legislation on the issue state officials said the only sectors affected in the past three days were some government building projects railway freight movement and cargo handling in sydney s ports reuter ,sh,6,177
union camp corp ucc rd qtr sept shr cts vs cts net mln vs mln sales mln vs mln nine months shr dlrs vs dlrs net mln vs mln sales billion vs billion reuter ,ea,2,34
westinghouse electric corp wx st qtr net shr primary dlrs vs cts shr dilulted dlrs vs cts net mln vs mln revs billion vs billion avg shrs mln vs mln reuter ,ea,2,31
peerless manufacturing pmfg o sells unit peerless manufacturing co said it has sold its industrial sensors and instruments division and panhandle equipment co subsidiaries for a total of dlrs in cash it said the transaction will result in a loss of about dlrs or cts per share which it will take in the fourth quarter ending june peerless said due to the sale it will probably have a loss for the year it said it sold the units to buyers it did not name due to increasing losses caused by the depressed petroleum equipment market peerless earned dlrs or cts per share in fiscal it said the units being sold lost cts per share in the first nine months of fiscal and cts in all of fiscal reuter ,ac,0,128
data med clinical support dmcs o st qtr loss period ended may shr loss five cts vs loss cts net loss vs loss sales vs note full name is data med clinical support services inc per share data adjusted for three for one stock split payable june the only sales reflected in fiscal period are sales recorded subsequent to the may acquisition of the assets of a predecessor company by data med reuter ,ea,2,73
sainsbury s taking control of shaw s supermarkets j sainsbury plc snb l said it agreed to take control of the u s shaw s supermarkets inc through a combination of share purchases and a tender offer at dlrs a share sainsbury bought about pct of the stock in it said its u s subsidiary chene investments inc bought mln common shares from the controlling davis family yesterday at dlrs a share for mln dlrs lifting its stake to pct a tender offer for the outstanding shares will be launched also at dlrs a share for a maximum further cost of mln the shaw s board and the davis family has agreed to accept the offer thus assuring sainsbury s a total holding of pct the company had allotted mln new ordinary shares to warburg securities ltd which it said would be sufficient to finance about mln dlrs of the maximum mln dlrs payable shaw s operates a chain of supermarkets in massachusetts maine and new hampshire which in produced sales of billiob dlrs and pretax profit of mln at the end of it had net assets of mln dlrs last september sainsbury s increased its stake in shaw s to pct in the year to march it reported a rise in pretax profit to mln stg from mln on sales that increased to billion from billion sainsbury shares had fallen five pence before the announcement to p from last night s close but were unmoved by news of the deal reuter ,ac,0,252
pengo pgo to sell some wireline operations pengo industries inc said it has agreed to sell its wireline products manufacturing division in fort worth texas wireline services division operations in several locations and pengo international inc subsidiary to john wood group plc for undisclosed terms the company said the wireline services operations being sold are in lafayette houma and harvey la alvin odessa and longview texas and moore okla pengo said its kuykenball slickline operation in moore and surplus wireline equipment operations in fort worth and cleburne texas will be sold separately reuter ,ac,0,93
hospital corp says it received dlr a share offer from investor group ,ac,0,12
montgomery street income mts st qtr net shr cts vs cts net vs note full name montgomery street income securities inc reuter ,ea,2,22
pennsylvania enterprises pent o bid stands utilities investment inc said it still is offering to acquire pennsylvania enterprises inc for dlrs per share it said it is prepared to negotiate its offer the pennsylvania enterprises board rejected the offer two weeks ago as being inadequate utilities said it has the financial commitments required to ensure that pennsylvania enterprises facilities would be upgraded to insure an adequate supply of safe drinking water it said its representatives will be attending pennsylvania enterprises annual meeting tomorrow in wilkes barre pa reuter ,ac,0,88
guinness completes unit sales worth mln stg guinness plc guin l said it has completed the sale of subsidiaries martin ctn group plc and drummonds pharmacy group plc total consideration was mln stg subject to adjustment on final audit which is expected to add mln stg guinness said martins has been sold to panfida ltd an australian investment company and drummonds to macarthy plc reuter ,ac,0,65
coarse grain supply demand by country usda the u s agriculture department detailed world supply demand data for major importers and exporters of coarse grains by country as follows in mln tonnes ussr coarse grain start stcks n a n a n a n a production imports domes use exports nil nil nil nil end stocks n a n a n a n a n a not available ec coarse grain in mln tonnes start stcks production imports dom use exports end stocks eastern europe coarse grain mln tonnes start stcks production imports dom use exports end stocks japan coarse grain in mln tonnes start stcks production imports dom use exports nil nil nil nil end stocks argentina coarse grain in mln tonnes start stcks production imports nil nil nil domes use exports end stocks canada coarse grain in mln tonnes start stcks production imports dom use exports end stocks thailand coarse grains in mln tonnes start stcks production imports nil nil nil nil domes use exports end stocks reuter ,gr,3,170
u s telecommunications inc ut rd qtr net shr profit cts vs profit cts net profit mln vs profit mln revs mln vs mln nine mths shr loss cts vs profit dlrs net loss mln vs profit mln revs billion vs billion note per shr reflects payment of preferred dividends results include loss of or eight cts shr in prior nine mths from discontinued operations latest nine month results include one time charge of dlrs share relating to us sprint revenues exclude those for us sprint a joint venture with gte corp gte reuter ,ea,2,94
usda estimates ussr grain imports mln tonnes vs in march year ago ,gr,3,12
the chariot group inc cgr rd qtr net shr cts vs two cts net vs revs mln vs avg shrs vs nine mths shr cts vs cts net vs revs mln vs mln note all per shr data adjusted to reflect pct stock dividend distributed in nd qtr reuter ,ea,2,49
first bank fbs sees loss on brazilian loans first bank systems inc in reporting higher first quarter net said that if interest is not paid on the mln dlrs in brazilian loans and nine mln dlrs in ecuadorian loans for the rest of its profits for the entire year will be cut by mln dlrs the banking firm said the non performing status of these loans cut first quarter net by mln dlrs earlier it reported first quarter profits of mln dlrs or cts a share up from mln dlrs or cts a share in the year ago period nonaccrual loans restructured loans and other real estate were mln dlrs or pct of total assets compared to mln dlrs or pct of assets at the end of and mln or pct of assets at march the provision for loan losses in the quarter was mln dlrs compared to mln in the first quarter when there was a special addition to the reserve of mln dlrs net charge offs were mln compared to mln dlrs a year earlier reuter m ,ea,2,179
aegon n v aegn as buys life investors shares aegon u s holding corp a unit of aegon n v of the netherlands and life investors inc linv o said they have purchased about shares of life investors common stock for dlrs per share cash the purchase is part of an agreement between the two companies made in november saying that on or before each april between and the companies would offer to buy one sixth of the number of life investors common stock outstanding as of dec not already owned by aegon on dec they would offer to buy any and all remaining shares reuter ,ac,0,106
roto rooter inc roto st qtr net shr cts vs cts net vs revs mln vs reuter ,ea,2,17
first valley corp fivc o rd qtr net shr cts vs cts net vs nine mths shr dlrs vs dlrs net mln vs mln reuter ,ea,2,25
california water service co cwtr o rd qtr shr dlrs vs dlrs net vs revs mln vs mln nine mths shr dlrs vs dlrs net vs revs mln vs mln note curent nine mth figures include mln dlr or cts per share gain resulting from change in accounting method for unbilled revenues reuter ,ea,2,53
u s energy secretary sees higher oil prices energy secretary donald hodel said he expects oil prices to rise significantly by the year probably to around dlrs a barrel in current dollars i do anticipate a significant increase by thirty three dlrs a barrel is not unreasonable hodel told the senate energy committee hodel said the loss of some domestic oil production through the shutdown of stripper barrels a day or less wells because of low prices was probably permanent he said he was also concerned by the decline in domestic oil exploration hodel urged congress to approve oil exploration in section of the arctic national wildlife refuge in alaska he said geologic condtions in the area were favorable for the discovery of oil fields equal to those in nearby prudhoe bay reuter ,cr,1,133
miyazawa says baker s remarks were aimed at just reaffirming louvre agreement ,mo,4,12
aristech chemical corp ars rd qtr net shr cts vs cts qtly div cts vs cts prior net mln vs mln revs mln vs mln nine mths shr dlrs vs dlrs net mln vs mln revs mln vs mln note dividend payable december to shareholders of record october reuter ,ea,2,49
compromise seen likely over conoco statoil dispute norway is expected to seek a compromise solution to defuse a row between den norske stats oljeselskap a s stat ol statoil and conoco norge a s over which firm will operate the heidrun oil field government sources said the sources who asked not to be named said the government will likely recommend that conoco be allowed to continue as the field s operator through the development phase with statoil taking over only after production starts in the early s oil minister arne oeien told reuters the government had today discused the heidrun matter but that no final decision had been taken and several questions remained unresolved it was unlikely the government would announce its decision on heidrun operatorship until after thursday s cabinet meeting and after discussing a proposed solution with both companies the sources added this spring norway s state owned oil company statoil exercised an option in the heidrun field exploration license that if approved by the government would allow it to relieve conoco as heidrun operator a move sharply criticised by conoco heidrun is often cited by the government and industry as the most likely candidate for the first field development project on the haltenbanken exploration tract off central norway reuter ,cr,1,212
fluorocarbon fcbn o completes acquisition fluorocarbon co said it completed the acquisition of eaton corp s etn industrial polymer division the company said it paid about mln dlrs in cash for the division which will be renamed samuel moore group fluorocarbon also said the division should boost annual sales to mln dlrs from last year s mln dlrs reuter ,ac,0,59
pittsburgh and west virginia pw rd qtr net shr cts vs cts net vs revs mln vs mln nine months shr cts vs cts net vs revs vs note full name pittsburgh and west virginia railroad reuter ,ea,2,37
burnham american propoerties bapyz o nd qtr qtr ended march net vs revs vs six mths net vs revs vs note per share data not given as not comparable to net figures which are before depreciation reuter ,ea,2,37
pan am pn sets pacific satellite stake sale johnson geneva u s a said it has agreed to buy pan am corp s pct holding in their joint venture company pan am pacific satellite corp for undisclosed terms johnson geneva said pan am divested owership in the project as part of a corporate restructuring plan but will continue to provide engineering services on a contract basis johnson geneva said the buy out was accomplished through onpraise ltd a hong kong company controlled by johnson geneva chairman michael johnson funds have been provided by onpraise to increase the satellite company s working capita reuter ,ac,0,103
kentucky central kenca o unit sells stations kentucky central life insurance co said its bluegrass broadcasting co inc subsidiary has agreed to sell two orlando fla radio stations to tk communications inc for mln dlrs subject to fcc approval reuter ,ac,0,40
union national corp unbc o rd qtr net shr cts vs cts shr diluted cts vs cts qtly div cts vs cts prior net vs nine mths shr dlrs vs dlrs shr diluted dlrs vs dlrs net mln vs mln avg shrs vs mln note dividend pay dec record nov reuter ,ea,2,51
n y times nyt to buy gwinnett daily news the new york times co said it had an agreement to buy the gwinnett daily news an evening newspaper published in lawrenceville ga terms were not disclosed the company said gwinnett has a weekday circulation of about and a sunday circulation of about the new york times also said gwinnett county a northeast suburb of atlanta is the fastest growing county in the country the purchase agreement includes the forsyth county news published on wednesday and sunday and the winder news a weekly among other publications reuter ,ac,0,96
met coil systems corp mets rd qtr feb net shr seven cts vs nine cts net vs sales mln vs mln nine mths shr cts vs cts net vs sales mln vs mln qtly div three cts vs three cts prior pay april record april reuter ,ea,2,46
s and w berisford wants to stay independent s and w berisford plc brfd l which has attracted takeover bids is making every possible effort to remain independent deputy chairman henry lewis said after the company announced interim results we ve taken specific steps to strengthen ourselves for this purpose he added referring to management changes and a corporate strategy of concentrating on four business sectors berisford aims to produced balanced earnings growth from a combination of commodities property financial services and food its industrial division with assets of about mln stg including debt is being reviewed and parts may be sold reuter ,ac,0,103
westinghouse electric wx optimistic for year westinghouse electric corp chairman douglas danforth said he was encouraged by first quarter results for fiscal and said the company was positioned to capitalize on the economy s modest growth for the rest of the year i am encouraged by the continuing improvement in earnings danworth said the first quarter met our expectations westinghouse recorded net income for the first quarter of mln dlrs or dlrs per share on revenues of billion dlrs danworth attributed the results to an increase in the operating profit in the energy and advanced technology industries and commerical segments reuter ,ea,2,101
gamma biologicals inc gama o th qtr march shr profit four cts vs loss cts net profit vs loss sales vs year shr loss cts vs loss cts net loss vs loss sales mln vs mln reuter ,ea,2,37
farm fresh inc ffsh o rd qtr net shr one cts vs cts net vs revs mln vs mln nine mths shr cts vs cts net vs revs mln vs mln reuter ,ea,2,32
american savings bank fsb abny o rd qtr net shr primary dlrs vs dlrs shr diluted dlrs vs dlrs net mln vs mln nine mths shr primary dlrs vs dlrs shr diluted dlrs vs dlrs net mln vs mln assets billion vs billion loans billion vs billion note qtr and nine mths includes gain dlrs and mln dlrs respectively from utilization of net operating loss carryforward qtr and nine mths includes gain dlrs and mln dlrs respectively from utilization of net operating loss carryforward full name of company is american savings bank fsb of new york reuter ,ea,2,97
cascade importers unit acquires paris company cascade importers inc usa s cascade international europa gmbh of west germany said it tentatively acquired worldwide rights for the products of madam gre from the bernard tapie group in paris the agreement calls for cascade to have the rights for the manufacturing and trading of perfumes skin care and treatment products and cosmetics of the group it said cascade said the agreement also includes the exclusive rights to trade through duty free channels worldwide the designer gres accessories in addition cascade said it was granted an option to purchase all the assets including the plant and equipment located in france the company said the cosmetic product line in the u s market alone could represent mln dlrs in revenue reuter ,ac,0,127
university genetics co ugen o rd qtr loss shr loss two cts vs loss four cts net loss dlrs vs loss dlrs revs dlrs vs dlrs nine mths shr loss cts vs loss cts net loss dlrs vs loss dlrs revs mln dlrs vs dlrs note the third quarter ended april reuter ,ea,2,52
service resources src unit cuts sorg srg stake a group led by chas p young co a subsidiary of service resources corp said it cut its stake in sorg inc to shares or pct of the total outstanding common stock from shares or pct in a filing with the securities and exchange commission young which yesterday withdrew its dlr a share takeover proposal said its other group member sdi partners ltd partnership sold sorg common shares between june and at to dlrs each reuter ,ac,0,84
investment firm has pct of blasius blas o fidelity international ltd a bermuda based investment advisory firm and an affiliated investment firm american values iii n v said they have acquired share of blasius industries inc in a filing with the securities and exchange commission the group said it bought the stake which amounts to pct of the total outstanding common stock to acquire an equity interest in the company for investment purposes the group said it may raise its stake or sell some or all of it and has no plans to seek control of the company reuter ,ac,0,99
kraft kra completes frostex acquisition kraft inc said it completed the acquisition of frostex foods inc for undisclosed terms kraft said last month it had signed a letter of intent to acquire the austin texas based foodservice distributor reuter ,ac,0,39
bsn bsn buys stake in macgregor mgs bsn corp said it holds less than five pct of macgregor sporting goods the company said the stock was acquired through recent open market purchases and the stake does not require specific disclosure reuter ,ac,0,41
parker drilling co pkd nd qtr feb loss shr loss cts vs loss cts net loss vs loss revs mln vs mln six mths shr loss dlrs vs loss dlrs net loss vs loss revs mln vs mln reuter ,ea,2,39
rapitech systems inc rpsy o rd qtr loss april end shr losses not given net loss vs loss revs vs nine mths shr losses not given net loss vs loss revs vs reuter ,ea,2,33
zambia s kwacha falls at weekly auction the zambian kwacha fell at this week s foreign exchange auction to kwacha to the dollar from last week s the bank of zambia said the rate was the lowest since the auctions resumed two weeks ago under a new two tier exchange rate system worked out with the world bank and international monetary fund the bank of zambia said it received bids ranging from to kwacha for the six mln dlrs on offer one hundred and thirty five bids were successful a british high commission spokesman said britain would put eight mln stg into the auction at a rate of one mln a week as soon as zambia reached a full agreement with the imf the money could be spent only on goods produced and supplied by british firms excluding luxuries and defence equipment the spokesman added reuter ,mo,4,146
