text,class,label,number_of_words
marine corp mcrp o rd qtr net shr dlrs vs dlrs net mln vs nine mths shr dlrs vs dlrs net mln vs mln assets billion vs billion deposits billion vs billion loans billion vs billion reuter ,ea,2,37
reagan says u s committed to louvre accord president reagan said the united states remains committed to the louvre accord in which the seven major industrial nations agreed to stabilize currency exchange rates the united states remains committed to the louvre agreement reagan said in a statement following a meeting with his top economic advisers reagan said the united states japan and west germany had all reaffirmed their commitment to coordinate economic policies reagan said japanese prime minister designate noboru takeshita said in a telephone conversation tuesday morning that his takeshita s top priority was to maintain stable economic relations with the united states reagan noted that treasury secretary james baker met with west german financial officials and reaffirmed their commitment to the louvre agreement they reaffirmed our agreement to coordinate economic policies to provide for non inflationary growth and stable exchange rates reagan said reuter ,mo,4,146
carolco crc may bid for lieberman lman o lieberman enterprises inc said carolco pictures inc is negotiating for the acquisition of the pct of lieberman shares held by the families of chairman david lieberman and president harold okinow at dlrs each and if the deal were concluded public shareholders would be offered the same price for their shares lieberman said the carolco bid to its public shareholders would be in cash or shareholders could be offered securities as an alternative the offer would occur within about days after the closing of the sale of the initial pct stake the company said the company said a final agreement has not yet been reached on the first transaction but negotiations are expected to be concluded in early june present management is expected to continue to operate lieberman the company said lieberman distributes prerecorded music video movies and other products reuter ,ac,0,148
owens and minor inc obod o rd qtr net shr cts vs cts shr diluted cts vs cts net vs sales mln vs mln avg shrs vs avg shrs diluted vs nine mths shr dlrs vs cts shr diluted cts vs cts net vs sales mln vs mln avg shrs vs avg shrs diluted vs reuter ,ea,2,56
preston corp ptrk o rd qtr net shr four cts vs cts net vs revs mln vs mln nine mths shr cts vs dlrs net vs revs mln vs mln reuter ,ea,2,31
cairns group said influential in trade talks australian minister for trade negotiations michael duffy said his country and third world commodity producers have formed an effective lobby group against farm export subsidies and market access restrictions duffy told a press conference the cairns group of major agricultural producers to which australia and thailand belong has emerged as an important third force in any multilateral trade talks there s no doubt that the cairns group is being seen as a third force to be reckoned with both inside the general agreement on tariffs and trade and in other international trade negotiations he said duffy here on a three day visit after talks in the united states the european community ec and latin america said considerable progress has been made by the group towards fighting costly protectionist policies pursued by developed countries the minister said the ec commission s new farm trade paper will recognise the heavy financial burdens imposed by its common agricultural policy and its future expansion he said the reagan administration has also displayed a determination to resist the currently strong protectionist sentiment in the u s congress reuter ,tr,7,190
gordon to make bid to acquire pagecorp pgoa to gordon investment corp said it plans to make an offer to acquire all of pagecorp inc s class a and class b shares for dlrs cash per share the bid is conditional upon an examination by gordon of the business and affairs of pagecorp during the days ending december the proposed offer would be condition upon ainimum number of shares being tendered gordon said it did not say what the minimum will be meanwhile pagecorp said it agreed to grant gordon an option to purchaser class a shares at dlrs per share which is exercisable only if gordon makes the acquisition bid before december or if any third party begins a takeover before december pagecorp also said all class b shareholders have agreed to deposit their class b shares if gordon proceeds with its offer reuter ,ac,0,145
industrial equity to make proposal to calmat czm industrial equity pacific ltd a hong kong based investment firm leading a group holding pct of calmat co s common stock said it intends to submit to calmat a proposal for a possible business combination in a filing with the securities and exchange commission industrial equity pacific did not disclose details of the proposal but said it would be delivered to calmat in the near future industrial equity pacific does not intend to remain a passive investor in calmat the firm told the sec in its sec filing industrial equity pacific said its president of north american operations ronald langley met with calmat officials on october to discuss an acquisition of the company at a premium over the market price of calmat stock industrial equity pacific added it is considering launching a tender offer for calmat stock or making a merger proposal to the company but said it has not decided whether it will pursue a calmat acquisition on a non negotiated basis industrial equity pacific which currently holds mln calmat common shares said it is also evaluating the company s recently adopted shareholder rights plan and its potential effect on calmat and on possible acquisition proposals made to the company between october and industrial equity pacific bought shares of calmat common stock at dlrs to dlrs a share or a total of about mln dlrs reuter ,ac,0,235
lamson and sessions co lms rd qtr net oper shr profit cts vs loss cts oper net profit vs loss revs mln vs mln nine mths oper shr profit cts vs loss cts oper net profit vs loss revs mln vs mln note net excludes losses from discontinued operations of dlrs in quarter and dlrs in nine mths nine mths net excludes gain dlrs from cumulative effect of pension accounting change net excludes tax credits of dlrs in quarter and dlrs in nine mths reuter ,ea,2,85
bowater industries profit exceed expectations bowater industries plc bwtr l pretax profits of mln stg exceeded market expectations of around mln and pushed the company s shares up sharply to a high of p from p last night dealers said the shares later eased back to p bowater reported a mln stg profit in the company said in a statement accompanying the results that the underlying trend showed improvement and it intended to expand further by developing existing businesses and seeking new opportunities it added that it had appointed david lyon currently managing director of redland plc rdld l as its new chief executive analysts noted that bowater s profits of mln stg from mln previously had been given a boost by pension benefits of mln stg profit from australia and the far east showed the greatest percentage rise jumping pct to mln from mln while the profit from u k operations rose pct to mln and europe pct to mln reuter ,ea,2,162
world telecoms watchdog relaxes car phone rules the international telecommunications union which regulates communications worldwide decided at the end of a five week conference to allow mobile phone systems to be linked with satellites telecommunications officials said until now car phones have been linked with land stations and have been limited mainly to urban areas the new ruling will make it easier for calls to be made from remote regions the meeting which finished over the weekend also decided to allow a radio determination satellite system which would enable fleet owners to trace to within about metres the movements of their lorries or cars or ships around the world reuter ,sh,6,110
emulex corp emlx o st qtr sept net shr cts vs cts net vs revs mln vs mln avg shrs mln vs mln reuter ,ea,2,24
national westminster bank usa st qtr net rises national westminster bank usa said higher loans and core deposit volumes as well as a substantial increase in net interest income contributed to a pct rise in first quarter earnings to mln dlrs from mln reported a year earlier the earnings gain came despite a mln dlr reduction of income as a result of placing brazilian loans on non accrual net interest income totalled mln dlrs compared with mln dlrs in the same period as loans mostly to middle market businesses increased by mln dlrs but some of these gains were offset by low levels of interest rates provision for loan losses rose to mln dlrs from mln a year earlier at march the allowance for loan losses was mln dlrs versus mln at end of march non accrual loans rose to mln dlrs from mln at the end of the first quarter of largely because mln dlrs of loans to brazil were put on non accrual status the bank said that if these loans remain on non accrual for the remainder of the year net income for would be reduced by about mln dlrs national westminster bank usa is a wholly owned subsidiary of national westminster bank plc reuter ,ea,2,208
balladur has had contact with g ministers french finance minister edouard balladur has been in contact with several finance ministers from the group of seven leading industrial countries in particular west german finance minister gerhard stoltenberg to discuss the crisis on world markets finance ministry sources said they did not say whether the contacts had led to concerted action on the markets or merely an exchange of views but they added that french ministry officials were continuing the contacts to exchange views on market performance reuter ,mo,4,86
may ajusted sterling bank lending up billion stg after billion in april official ,in,5,13
baring unit sets up fund for management buy outs baring capital investors ltd bci a unit of the u k merchant bank baring brothers and co ltd said it has raised mln european currency units ecus which will be invested in management buy outs and development capital opportunities in the u k and continental europe the funds were raised through bci s first such fund the baring euaring european capital trust from investors in nine european countries it expects to raise another mln ecus soon through a french fund and a fund for u s investors bci was set up last year by baring brothers to advise buy out and development capital investors bci said the new fund is structured as a guernsey based unit trust which will be listed on the luxembourg stock exchange it will be advised by bci and managed by a company owned jointly by barings and the management of bci individual investments are expected to range between one and mln ecus and are likely to be concentrated in the u k germany and france bci said its aims are to invest in established companies principally family companies with succession issues and corporate spin offs reuter ,ac,0,200
coradian cdin o stake acquired by sage coradian corp said a group led by privately held sage equities group agreed to buy a pct interest in coradian in connection with the agreement the company said it sold shares at cts a share it said that in addition to common stock sage equities will receive warrants exercisable at dlrs a share reuter ,ac,0,61
int l research development irdv o st qtr net shr six cts vs three cts net vs revs vs note full name is international research and development corp reuter ,ea,2,29
first republicbank frb n corp rd qtr loss shr diluted loss cts net loss nine mths shr diluted loss dlrs net loss note no comparisons because company was formed in june through merger of republicbank corp and interfirst corp nine mths includes previously reported provision of mln dlrs in second quarter for possible losses on ldc loans reuter ,ea,2,58
king world productions inc kwp nd qtr feb shr cts vs eight cts net vs revs mln vs mln st half shr cts vs cts net mln vs revs mln vs mln reuter ,ea,2,33
lasmo canada to merge with onyx petroleum lasmo exploration canada ltd a subsidiary of london scottish marine oil plc lsml l is merging with onyx petroleum exploration co ltd lasmo said the merger is to be made by onyx buying lasmo exploration in a share swap a new company lasmo canada inc will be formed lasmo will control pct of the equity worth some mln canadian dlrs based on the current onyx share price the new company will have proven reserves of mln barrels of oil and billion cubic feet of gas lasmo said reuter ,ac,0,95
ecolab inc ecl rd qtr oper shr oper shr cts vs cts oper net vs revs mln vs mln nine mths oper shr dlrs vs dlrs oper net mln vs mln revs mln vs mln note results include restructuring and non recurring charge of cts a share to restructure chemlawn acquired in april and other recent acquisitions results exclude gain on sale of discontinued operations of mln dlrs or dlrs a share in rd qtr results also exclude income from discontinued operations of dlrs in nine mths of dlrs or two cts in rd qtr and dlrs or cts in nine mths reuter ,ea,2,103
gateway bancorp inc gban st qtr net shr cts vs cts net vs deposits mln vs mln note per share amounts adjusted to reflect for one stock split effective sept reuter ,ea,2,31
neworld bank for savings nwor st qtr net oper shr cts vs cts oper net vs note net excludes dlr tax credit reuter ,ea,2,23
frontier frtr o buys malpractice business frontier insurance group inc said it acquired the malpractice book of business generated by medical quadrangle inc and medical professional liability agency ltd a producer of medical malpractice coverage it said the acquisition will enable all of frontier s medical malpractice coverage to be serviced internally reuter ,ac,0,53
h f ahmanson and co ahm rd qtr net shr cts vs cts net mln vs mln nine mths shr dlrs vs dlrs net mln vs mln avg shrs vs assets billion vs billion loans billion vs billion deposits billion vs billion reuter ,ea,2,43
freedom frdm to recognize gain on unit sale freedom savings and loan association said it will record a net gain of mln dlrs on the sale of certain assets of its freedom mortgage co subsidiary to chase home mortgage corp a subsidiary of chase manhattan corp cmb freedom also said it had completed the sale the company said about mln dlrs of the gain will be recnogized in the quarter ending june with the remainder derferred and recognized over the remaining life of the serviced mortgage porfolio reuter ,ac,0,88
national intergroup nii unit raises crude prices permian corp a subsidiary of national intergroup said it raised its crude oil postings by cts a barrel effective june the company said its new posted price for west texas intermediate and west texas sour is dlrs a barrel while light louisiana sweet is now the price hike follows other increases industrywide reuter ,cr,1,60
abbott abt sees gains from weaker dollar abbott laboratories inc said its first quarter record results reflected continued productivity improvement higher volume better product mix and a weaker u s dollar abbott reported first quarter earnings rose to a record mln dlrs or cts a share on record sales of one billion dlrs research and development expenses most of which was applied to diagnostic and pharmaceutical products increased by pct to mln dlrs it said sales of pharmaceutical and nutritional products were mln dlrs in the first quarter up pct over a year ago abbott said hospital and laboratory product sales in the first quarter rose pct to mln dlrs it said first quarter sales in domestic markets advanced pct to mln dlrs while international sales jumped pct to mln dlrs abbott said reuter ,ea,2,134
circle express cexx o ends overland over o buy circle express inc said negotiations on its proposed acquisitions of overland express inc and privately held continental training services inc have been terminated by mutual agreement the company said the recent declines in stock prices have made it unlikely that the transactions could qualify as tax free reorganizations reuter ,ac,0,58
soviet trade deficit with west soars in the soviet trade deficit with the west almost quadrupled last year reaching billion roubles compared with mln in official figures showed statistics published by the monthly journal foreign trade showed soviet trade turnover for fell to billion roubles from billion the previous year a drop of pct moscow s trade surplus with east bloc countries continued to grow in western analysts attributed the deficit rise with the west to the world oil price slump which hit moscow s main export and cut hard currency earnings needed for purchases in the west reuter ,tr,7,99
warner communications inc wci rd qtr net shr cts vs cts net mln vs mln revs mln vs mln nine mths shr dlrs vs cts net mln vs mln revs billion vs billion reuter ,ea,2,34
raytech ray buys west german company raytech corp said it acquired raybestos industrie produkte gmbh for mln dlrs raybestos with manufacturing facilities in radevormwald west germany produces friction materials for use in clutch and braking applications reuter ,ac,0,37
albany international corp aaica o rd qtr net shr cts vs cts net vs revs mln vs mln nine mths shr cts vs cts net mln vs revs mln vs mln avg shrs mln vs mln reuter ,ea,2,37
clark copy international buys w german stake clark copy international corp said it acquired a majority interest in datagraph gmbh of lich west germany the acquisition was made through clark copy s majority owned subsidiary interactive computer aids of norway no price was disclosed for the acquisition clark copy said worldwide sales for datagraph which makes color graphics workstations were mln dlrs for the year ended dec reuter ,ac,0,68
ricoh co ltd rict t year ended march group shr yen vs net billion vs billion pretax billion vs billion operating billion vs billion sales billion vs billion note no forecast for current year reuter ,ea,2,35
oneok inc oke nd qtr feb net shr dlrs vs dlrs net mln vs mln revs mln vs mln mths shr dlrs vs dlrs net mln vs mln revs mln vs mln note company reports earnings qtrly and includes the previous mths figures reuter ,ea,2,44
co operative cobk o completes acquisition co operative bancorp said it completed the acquisition of all the issued and outstanding stock of the quincy co operative bank qbck o under the agreement quincy stockholders will receive dlrs cash for each share owned of the quincy co operative bank for a total transaction of approximately mln dlrs co operative said reuter ,ac,0,60
burmah oil profit climbs to mln stg year shr p vs p final div p making p vs p pre tax profit mln stg vs mln net profit before minorities mln vs mln turnover net of duties billion stg vs billion minorities stg vs same extraordinary debit mln vs mln note company s full name is the burmah oil co plc burm l reuter m ,ea,2,65
society for savings bancorp inc socs o rd qtr hartford conn oct shr cts vs cts net vs nine mths shr dlrs vs dlrs net mln vs mln reuter ,ea,2,29
corrected goodyear gt to sell celeron goodyear tire and rubber co said it expects to sell its celeron corp oil and gas subsidiary for about two billion dlrs in about two months after the company s annual meeting rober mercer goodyear s chairman and chief executive officer also said goodyear expects to report a profit of more than one dlr a share from continuing operations in the first quarter in the same year ago period goodyear reported a loss of cents a share from continuing operations mercer said about seven companies are interested in buying celeron and they may form a consortium to buy the unit reuter ,ac,0,107
petro canada crude up cts canadian bbl petro canada a state owned oil company raised the posting prices of sweet and sour crude oils cts canadian per barrel effective today the company said the change brings the price of light sweet crude to dlrs canadian per barrel and the price of light sour crude to dlrs canadian a barrel the crude oils are from edmonton swann hills reuter ,cr,1,68
ibc s interstate bakeries ibc bid oversubscribed ibc acquisition corp said it received about interstate bakeries corp shares in response to its tender offer for up to shares that expired october and it will purchase about pct of the shares tendered it said a final proration factor should be announced and payment for shares start october ibc is made up of interstate management first boston inc fbc and george k braun and co reuter ,ac,0,74
venezuela says opec oil output ver mln bpd caracas oct the current opec oil production is above mln barrels per day bpd and this level threatens the precarious equilibrium of the of oil market venezuelan energy and mines minister arturo hernandez grisanti said on monday he told reporters three or four countries out of opec s members were mainly responsible for the overproduction but declined to identify them opec s production ceiling for the second half of is mln bpd the venezuelan minister said opec s production reached a peak this year when it went over mln bpd in august hernandez grisanti together with the oil ministers of nigeria and indonesia met the heads of state of six mideast gulf countries earlier this month to urge opec members to comply with assigned production quotas he said some of the countries which were complying as venezuela indonesia libya algeria ecuador saudi arabia and iran hernandez declined to say whether the three or four countries he said were overproducing bordered the mideast gulf reuter ,cr,1,172
society savings socs o forms holding company society for savings said it has completed a merger into newly formed holding company society for savings bancorp inc on a share for share basis reuter ,ac,0,33
